ts;cpu_percent;mem_used_mb;net_sent_kbps;net_recv_kbps;req_ok;req_fail;last_req_ms
2026-05-15T17:18:29+03:00;89,96;11585,45;0,00;0,00;10;0;27
2026-05-15T17:18:30+03:00;99,80;11589,28;8,76;6,95;20;0;10
2026-05-15T17:18:31+03:00;99,81;11603,53;3,70;0,99;30;0;18
2026-05-15T17:18:32+03:00;100,00;11606,74;5,33;1,02;40;0;11
2026-05-15T17:18:33+03:00;100,00;11618,88;5,08;1,26;50;0;21
2026-05-15T17:18:34+03:00;100,00;11613,59;3,56;1,43;60;0;122
2026-05-15T17:18:35+03:00;100,00;11625,98;2,85;0,76;69;0;13
2026-05-15T17:18:36+03:00;100,00;11623,75;3,44;0,63;79;0;16
2026-05-15T17:18:37+03:00;100,00;11588,29;4,60;1,88;89;0;24
2026-05-15T17:18:38+03:00;99,81;11622,53;3,47;0,69;99;0;43
2026-05-15T17:18:39+03:00;100,00;11609,64;3,56;0,45;109;0;30
2026-05-15T17:18:40+03:00;100,00;11611,25;0,05;0,30;119;0;15
2026-05-15T17:18:41+03:00;99,80;11614,17;3,73;0,87;129;0;24
2026-05-15T17:18:42+03:00;100,00;11606,71;3,28;0,69;139;0;22
2026-05-15T17:18:43+03:00;100,00;11609,41;1,93;0,63;149;0;13
2026-05-15T17:18:44+03:00;100,00;11596,09;5,37;1,26;159;0;33
2026-05-15T17:18:45+03:00;99,80;11529,50;3,75;0,41;169;0;18
2026-05-15T17:18:46+03:00;100,00;11533,18;0,05;0,42;179;0;14
2026-05-15T17:18:47+03:00;100,00;11521,49;5,26;1,32;189;0;14
2026-05-15T17:18:48+03:00;100,00;11530,66;2,48;3,29;199;0;14
2026-05-15T17:18:49+03:00;99,80;11520,68;5,01;0,96;209;0;11
2026-05-15T17:18:50+03:00;100,00;11516,63;5,11;1,20;219;0;25
2026-05-15T17:18:51+03:00;100,00;11535,53;2,66;0,99;229;0;23
2026-05-15T17:18:52+03:00;100,00;11549,53;23,66;14,22;239;0;15
2026-05-15T17:18:53+03:00;100,00;11553,55;5,12;0,90;249;0;21
2026-05-15T17:18:54+03:00;100,00;11560,77;2,67;0,75;259;0;15
2026-05-15T17:18:55+03:00;100,00;11559,60;2,71;0,93;269;0;17
2026-05-15T17:18:56+03:00;100,00;11569,41;13,53;2,22;279;0;22
2026-05-15T17:18:57+03:00;100,00;11561,67;12,04;13,70;289;0;21
2026-05-15T17:18:58+03:00;99,80;11568,00;0,26;2,33;299;0;10
2026-05-15T17:18:59+03:00;100,00;11569,54;3,43;0,75;309;0;25
2026-05-15T17:19:00+03:00;99,80;11557,29;3,59;0,81;319;0;12
2026-05-15T17:19:01+03:00;100,00;11522,35;3,67;0,91;329;0;30
2026-05-15T17:19:02+03:00;100,00;11505,27;0,11;0,06;339;0;24
2026-05-15T17:19:03+03:00;100,00;11522,51;3,40;0,75;349;0;14
2026-05-15T17:19:04+03:00;99,81;11522,86;3,36;0,45;354;5;24
2026-05-15T17:19:05+03:00;99,80;11524,01;0,05;0,06;356;13;16
2026-05-15T17:19:06+03:00;99,80;11526,07;0,00;0,30;358;21;27
2026-05-15T17:19:07+03:00;100,00;11530,74;10,44;2,28;360;29;16
2026-05-15T17:19:08+03:00;100,00;11535,46;7,58;2,25;362;37;17
2026-05-15T17:19:09+03:00;100,00;11535,34;5,18;1,26;363;46;22
2026-05-15T17:19:10+03:00;100,00;11535,09;2,70;0,78;365;54;16
2026-05-15T17:19:11+03:00;100,00;11532,57;5,42;0,96;366;63;23
2026-05-15T17:19:12+03:00;99,80;11534,43;5,42;1,34;368;71;8
2026-05-15T17:19:13+03:00;100,00;11539,68;2,53;0,69;370;79;15
2026-05-15T17:19:14+03:00;100,00;11534,10;5,25;1,56;372;87;15
2026-05-15T17:19:15+03:00;99,80;11534,76;2,70;0,63;373;96;11
2026-05-15T17:19:16+03:00;100,00;11541,36;5,34;1,39;375;104;12
2026-05-15T17:19:17+03:00;100,00;11540,16;5,28;1,26;376;113;30
2026-05-15T17:19:18+03:00;100,00;11545,57;5,21;0,96;378;121;23
2026-05-15T17:19:19+03:00;99,80;11547,71;2,62;1,06;380;129;12
2026-05-15T17:19:20+03:00;99,81;11556,09;5,37;0,96;381;138;19
2026-05-15T17:19:21+03:00;100,00;11540,89;2,62;0,93;383;146;12
2026-05-15T17:19:22+03:00;100,00;11544,66;5,28;1,38;385;154;15
2026-05-15T17:19:23+03:00;99,80;11531,97;5,10;0,90;386;163;19
2026-05-15T17:19:24+03:00;99,80;11541,70;2,74;1,05;387;172;16
2026-05-15T17:19:25+03:00;99,80;11547,30;5,23;0,90;389;180;26
2026-05-15T17:19:26+03:00;100,00;11552,15;3,42;0,99;391;188;16
2026-05-15T17:19:27+03:00;99,61;11549,95;4,44;1,32;393;196;21
